PK_CAD,RAZAO_SOCIAL,FANTASIA
887,000,"N L LENS ME","LENZ REFRIGERACAO"
888,000,"IDEAL M E D EVENTOS LTDA","IDEAL EVENTOS"
889,000,"SALINE COMERCIO E TRANSPORTE LTDA - ME","POUSADA MARE MAR"
890,000,"SIGRANE INDUSTRIA, COMERCIO E IMPORTADORA LTDA-EPP","UPS SUL- SISTEMA DE ENERGIA - LOGMASTER"
893,000,"SEARA ALIMENTOS LTDA","SEARA"
895,000,"MANGO RETRO COMERCIO DE PECAS AGRICOLAS LTDA ME","MANGO RETRO"
896,000,"VR CASA DO BEBEDOURO LTDA ME","CASA DO BEBEDOURO"
898,000,"DARF 2185  MULTA APLICADA PELO SETOR ADUANEIRO - SEM REDUÇÃO","DARF 2185  MULTA APLICADA PELO SETOR ADUANEIRO - SEM REDUÇÃO"
902,000,"LUCIANA CRISTINA BORNEMANN ME","PERSONAL MOVEIS"
899,000,"CANTWELL CULLEN & COMPANY INC","CANTWELL"
901,000,"EMB AUTOMACAO COMERCIO DE FERRAMENTAS LTDA-EPP","EMB AUTOMACAO"
894,000,"NATHAN ESTRAZULAS VIEIRA ME","REDE SUL DE SERVIÇOS"
903,000,"MUNHOZ IND. E COM. DE PRE MOLDADOS LTDA  ME","COMERCIAL MUNHOZ"
907,000,"JONATAN DE SA-ME","PAPEL DE CANA"
909,000,"CIFA TEXTIL LTDA","CIFA TEXTIL"
910,000,"R S PIRES COMERCIAL LTDA. - EPP","FORELL DISTRIBUIDORA"
908,000,"EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS","ECT - GUAIBA"
912,000,"PCI PARANA IND. CIRCUITOS IMPRESSOS","PCI"
913,000,"BORRACHAS SOLUTION COM DE PECAS E ACESS","BORRACHAS SOLUTION"
914,000,"SAINT-GOBAIN DO BRASIL PROD INDUSTRIAIS E PARA CONTRUCAO LTD","WEBER SAINT-GOBAIN"
919,000,"VIVO S.A.","VIVO"
947,000,"MULTITECNICA INSTALAÇÕES INDUSTRIAIS LTDA EPP","MULTITECNICA"
915,000,"I C A INDUSTRIA DE CONCRETO ARMADO LTDA - ME","I C A"
950,000,"KTRMOES FF IND. DE AUTO PECAS E COMP.ELETRO-ELETRONICOS LTDA","KTR"
951,000,"NATURAL LIMP EQUIPAMENTOS PARA COLETA SELETIVA EIRELI ME","NATURAL LIMP"
948,000,"MULTIENERGIA EQUIPAMENTOS INDUSTRIAIS LTDA EPP","MULTIENERGIA"
921,000,"DISHING ELECTRONICS CO LIMITED","DISHING ELECTRONICS CO LIMITED"
942,000,"RAPIFIX DO BRASIL LTDA","RAPIFIX DO BRASIL"
920,000,"SONALARME SISTEMAS ELETRONICOS LTDA-EPP","SONALAREME"
943,000,"DELMIR GRZESCZAK - ME","FUNILARIA ALFA"
