,CPD_MP,OC,FORNECEDOR,QTD_PENDENTE_OC,ENTREGA,SIMBOLO,VALOR_TOTAL
78,36554.0,103330.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,4000.0,2020-02-24,R$,2876.64
79,36554.0,105215.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,4000.0,2020-04-06,R$,2876.64
80,36554.0,107118.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,4000.0,2020-05-04,R$,2876.64
81,36634.0,105222.0,ARROW BRASIL S.A,6600.0,2020-04-27,R$,2217.6000000000004
82,36716.0,105228.0,ARROW BRASIL S.A,5000.0,2020-04-20,R$,611.0
83,36760.0,103309.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,1000.0,2020-03-02,R$,1337.5
84,36760.0,103765.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,1000.0,2020-02-24,R$,1337.5
85,36760.0,103765.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,1000.0,2020-03-09,R$,1337.5
86,36760.0,105204.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,1000.0,2020-04-06,R$,1337.5
87,36760.0,105204.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,1000.0,2020-04-12,R$,1337.5
88,36760.0,105685.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,1000.0,2020-04-20,R$,1337.5
89,36760.0,106603.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,1000.0,2020-04-27,R$,1337.5
90,36760.0,106603.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,1000.0,2020-05-04,R$,1337.5
91,36760.0,107106.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,2000.0,2020-05-11,R$,2675.0
92,36770.0,106389.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,50.0,2020-04-06,R$,1038.74
93,36770.0,107570.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,30.0,2020-05-04,R$,623.2439999999999
94,36773.0,104461.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,20.0,2020-03-10,R$,186.248
95,36773.0,104461.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,30.0,2020-03-02,R$,279.372
96,36773.0,104961.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,20.0,2020-04-06,R$,186.248
97,36773.0,106842.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,15.0,2020-04-27,R$,139.686
98,36773.0,106842.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,35.0,2020-05-04,R$,325.934
99,36773.0,107276.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,5.0,2020-05-11,R$,46.562
100,36773.0,107571.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,5.0,2020-05-18,R$,46.562
